buggyCode,correctedCode
"#include<stdio.h>

int main()
{
    int a,b,c,hyp1,hyp2,hyp3;
    
    scanf(""%d %d %d"",&a,&b,&c);
    hyp1=(a*a+b*b);
    hyp2=(b*b+c*c);
    hyp3=(a*a+c*c);
    
    if((hyp1==c*c)||(hyp2==a*a)||(hyp3==b*b))
    printf(""RIGHT"");
    
    else if(((hyp1<c*c)||(hyp2<a*a)||(hyp3<b*b)))
    printf(""OBTUSE"");
    
    else if((hyp1>c*c)||(hyp2>a*a)||(hyp3>b*b))
    printf(""ACUTE"");
    
    else((a+b<c)||(a+c<b)||(b+c<a))
    printf(""INVALID"");
    
    
    return 0;
}","#include<stdio.h>
int main()
{
    int a,b,c,hyp1,hyp2,hyp3;
    scanf(""%d %d %d"",&a,&b,&c);
    hyp1=(a*a+b*b);
    hyp2=(b*b+c*c);
    hyp3=(a*a+c*c);
    if((hyp1==c*c)||(hyp2==a*a)||(hyp3==b*b))
    printf(""RIGHT"");
    else if(((hyp1>c*c)||(hyp2>a*a)||(hyp3>b*b)))
    printf(""OBTUSE"");
    else if((hyp1<c*c)||(hyp2<a*a)||(hyp3<b*b))
    printf(""ACUTE"");
    else
    printf(""INVALID"");
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
    int height,i,j,k;
    scanf(""%d"",&height);
    for(i=height;i>=1;i--){
        for(j=1;j<(height-i);j++){
            printf("" "");
        }
        printf(""*"");
        for(k=1;k<2*i-2;k++){
    }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
    int height,i,j,k;
    scanf(""%d"",&height);
    for(i=1;i,height;i++){
        printf(""*"");
    }
    printf(""\n"");
    height--;
    for(i=height;i>0;i--){
        for(j=1;j<=(height-i);j++){
            printf("" "");
        }
        printf(""*"");
        printf(""\n"");
    }
	return 0;
}"
"#include <stdio.h>
int main(){
    // Insert your code here
    int n,i,d;
    scanf(""%d"",&n);
    int arr[2*n];
    for(i=0;i<2*n;i++)
    {
        scanf(""%d"",&arr[i])
    }
    if(arr[i]==arr[n-i])
    d=n-i-i;
    printf(""%d"",d);
    return 0;
}","#include <stdio.h>
int main(){
    int n,i,d;
    scanf(""%d"",&n);
    int arr[2*n];
    for(i=0;i<2*n;i++)
    {
        scanf(""%d"",&arr[i]);
    }
    if(arr[i]==arr[n-i])
    d=n-i-i;
    printf(""%d"",d);
    return 0;
}"
"#include <stdio.h>

int main()
{int h,i,p,p1;
scanf(""%d"",&h);
scanf(""%d"",&p);
scanf(""%d ""&p1)
int d=0,p2;
for(i=2;i<=p;i++)
{
    //c1=p1;
    scanf(""%d "",&p2);
    if(p2<p1)
    {
        d=d+p1-p2;
    }
    p1=p2;
    
}
if(d>=h)
{
    printf(""No"");
}
else
printf(""Yes"");


    return 0; 
    
}","#include <stdio.h>
int main()
{int h,i,p,p1;
scanf(""%d"",&h);
scanf(""%d"",&p);
scanf(""%d "",&p1);
int d=0,p2;
for(i=2;i<=p;i++)
{
    scanf(""%d "",&p2);
    if(p2<p1)
    {
        d=d+p1-p2;
    }
    p1=p2;
}
if(d>=h)
{
    printf(""No"");
}
else
printf(""Yes"");
    return 0; 
}"
"#include <stdio.h>
#include <stdlib.h>

int main() {
	int n;
	scanf(""%d\n"",&n);
	int a[n],i,j,c=0,t[n],s=0;
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&a[i]);
	}
	for(i=0;i<n-1;i++)
	{
	    c=0;
	    for(j=i+1;j<n;j++)
	    {
	        if(a[i]>a[j])
	        {
	            c++;
	            s=1;
	        }
	}
	s=0;
	for(i=0;i<n;i++)
	{
	    s=s+t[i];
	}
	printf(""%d\n"",s);
		for(i=0;i<n;i++)
	{
	printf(""%d"",t[i]);
	}
	
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int n;
	scanf(""%d\n"",&n);
	int a[n],i,j,c=0,t[n],s=0;
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&a[i]);
	}
	for(i=0;i<n-1;i++)
	{
	    c=0;
	    for(j=i+1;j<n;j++)
	    {
	        if(a[i]>a[j])
	        {
	            c++;
	            s=1;
	        }
	}
	}
	s=0;
	for(i=0;i<n;i++)
	{
	    s=s+t[i];
	}
	printf(""%d\n"",s);
		for(i=0;i<n;i++)
	{
	printf(""%d"",t[i]);
	}
	return 0;
}"
"#include<stdio.h>
int main()
{
    int i,n,a[1000],max=1,first;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    int  j,k=0;
    for(i=0;i<n;i++)
    {
        for(j=i;j<n;j++)
        {
            if(a[i]<a[j])
            k++;
        }
        if(k>max)
        max=k
    }
    printf(""%d"",max);
    return 0;
}","#include<stdio.h>
int main()
{
    int i,n,a[1000],max=1,first;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    int  j,k;
    for(i=0;i<n;i++)
    {
        k=1;
        for(j=i;j<n;j++)
        {
            if(a[i]<a[j])
            k++;
        }
        if(k>max)
        max=k;
    }
    printf(""%d"",max);
    return 0;
}"
"#include<stdio.h>

int arr[100];
int getInversions(int l,int r)//returns the number of inversions in the                                 sequence arr[l],arr[l+1],..,arr[l+r-1]
{
    int n,inv=0,i,j;
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(i=0;i<n-1;i++)
    for(j=i+1;j<n;j++)
    if(a[i]>a[j])
    inv++;
    printf(""%d"",inv);
    return 0;
}

int main()
{
    int n,l,r,j,max;
    scanf(""%d\n%d"",&n,&l);
    int a[n-l+1];
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(i=1;i+l-1<=n;i++)
    {
        for(j=i;j<i+l;j++)
        a[i]=getInversions(l,r);
    }
    max=a[0];
    for(i=0;i<n-l+1;i++)
    if(a[i]>max)
    max=a[i];
    printf(""%d"",max);
    
    return 0;           
}","#include<stdio.h>
int arr[100];
int getInversions(int l,int r)//returns the number of inversions in the                                 sequence arr[l],arr[l+1],..,arr[l+r-1]
{
    int i,j,inv=0;
    for(i=l;i<=l+r-1;i++)
    {
       for(j=i;j<r+l-1;j++)
       if(arr[j]<arr[i])
       inv++;
    }
    return inv;
}
int main()
{
    int n,r,i,max;
    scanf(""%d\n%d"",&n,&r);
    int a[n-r+1];
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(i=0;i<n+1-r;i++)
    {
        a[i]=getInversions(i,r);
    }
    max=a[0];
    for(i=0;i<n-r+1;i++)
    if(a[i]>max)
    max=a[i];
    printf(""%d"",max);
    return 0;           
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if(((a+b)<=c)||((a+c)<=b)||((b+c)<=a))
	   printf(""Cannot form a triangle"");
	else if(((a*a+b*b)<(c*c))||((a*a+c*c)<(b*b))||((b*b+c*c)<(a*a))
	         printf(""obtuse angled triangle"");
	     else
	         printf(""not an obtuse angled triangle"");
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if(((a+b)<=c)||((a+c)<=b)||((b+c)<=a))
	   printf(""Cannot form a triangle"");
	else if(((a*a+b*b)<(c*c))||((a*a+c*c)<(b*b))||((b*b+c*c)<(a*a)))
	         printf(""obtuse angled triangle"");
	     else
	         printf(""not an obtuse angled triangle"");
	return 0;
}"
"#include <stdio.h>

int main()
{float a;
  float med_sc=0;
  scanf(""%f %f"",a,b);
  scanf(""%f %f"",c,d);
  scanf(""%f %f"",e,f);
  float m1=a*40/50 + b*60/100;
  float m2=c*40/50 + d*60/100;
  float m3=e*40/50 + f*60/100;
  if(m1>=m2)
  { if(m1>=m3);
   else
   printf(""Median weightaed score:%.3f"",m1);
  }
  else
  {if(m3>=m2)
   printf(""Median weightaed score:%.3f""m3);
   else
   printf(""Median weightaed score:%.3f""m2);
  }
	return 0;
}","#include <stdio.h>
int main()
{float a,b,c,d,e,f;
  float med_sc=0;
  scanf(""%f %f"",&a,&b);
  scanf(""%f %f"",&c,&d);
  scanf(""%f %f"",&e,&f);
  float m1=a*40/50 + b*60/100;
  float m2=c*40/50 + d*60/100;
  float m3=e*40/50 + f*60/100;
  if(m1>=m2)
  { if(m1>=m3);
   else
   printf(""Median weightaed score:%.3f"",m1);
  }
  else
  {if(m3>=m2)
   printf(""Median weightaed score:%.3f"",m3);
   else
   printf(""Median weightaed score:%.3f"",m2);
  }
	return 0;
}"
"#include <stdio.h>

int main()
{
    int n,m,s=0,g,m;
    for(i=0;i<n;i++)
    {
        for(j=0;j<m;j++)
        {
            scanf(""%d"",&g);
            s=s+g;
        }
        if(s>m)
        {
            m=s;
        }
    }
    printf(""%d"",m);
    return 0;
}","#include <stdio.h>
int main()
{
    int n,m,s=0,g,max=0,i,j;
    scanf(""%d%d"",&n,&m);
    for(i=0;i<n;i++)
    {
        for(j=0;j<m;j++)
        {
            scanf(""%d"",&g);
            s=s+g;
        }
        if(s>max)
        {
            max=s;
        }
    }
    printf(""%d"",max);
    return 0;
}"
